Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
123,January - M011994,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,8.1,12,NA,NA
122,January - M011994,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.1,14.7,NA,NA
200,January - M011994,Madhya Pradesh,Korba,Madhya Pradesh  Pollution Control Board,NA,11.9,9.9,NA,NA
199,January - M011994,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,NA,1.6,54.5,NA,NA
130,January - M011994,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,16.7,23.3,NA,NA
129,January - M011994,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.8,18.1,NA,NA
67,January - M011994,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,23.6,NA,NA
65,January - M011994,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",18.8,22,NA,NA
131,January - M011994,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3.1,11.3,NA,NA
128,January - M011994,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.6,14.5,NA,NA
127,January - M011994,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,12,15.8,NA,NA
222,January - M011994,Madhya Pradesh,Raipur,Madhya Pradesh  Pollution Control Board,NA,17.5,30.6,NA,NA
223,January - M011994,Madhya Pradesh,Raipur,Madhya Pradesh  Pollution Control Board,NA,17.7,28.8,NA,NA
82,January - M011994,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,25.2,19.6,NA,NA
84,January - M011994,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15.5,34.9,NA,NA
123,February - M021994,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,12.5,19.2,NA,NA
122,February - M021994,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",14,22.8,NA,NA
129,February - M021994,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",12,17.8,NA,NA
130,February - M021994,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,17,26.1,NA,NA
65,February - M021994,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",20,23.7,NA,NA
199,February - M021994,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,NA,1.2,131.7,NA,0
82,February - M021994,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,20.2,17.9,NA,NA
