Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
178,August - M081996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,0,0,NA,156
61,August - M081996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,13.5,37.6,NA,235
62,August - M081996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",12,30.9,NA,190
76,August - M081996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,14.6,39.8,NA,372
301,August - M081996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,16.9,31.7,NA,217
302,August - M081996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",13.5,27.2,NA,271
177,September - M091996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,21.9,37.7,NA,310
176,September - M091996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,22.9,30.1,NA,232
61,September - M091996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.7,44.4,NA,293
62,September - M091996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",13.6,39.2,NA,276
76,September - M091996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,16.7,47.4,NA,478
301,September - M091996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,17.2,38.2,NA,302
302,September - M091996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.3,40.7,NA,225
177,October - M101996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,19.4,38.3,NA,271
176,October - M101996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,18.4,25.5,NA,211
178,October - M101996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,21.1,43.7,NA,215
61,October - M101996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.6,40.6,NA,361
62,October - M101996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",13.5,35,NA,306
76,October - M101996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,16.4,37.9,NA,423
301,October - M101996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,17.6,40.1,NA,365
302,October - M101996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",18.3,43.5,NA,365
177,November - M111996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,18.4,34.9,NA,270
176,November - M111996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,12.7,20.2,NA,167
178,November - M111996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,15.8,28.1,NA,154
61,November - M111996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.7,40.1,NA,333
