Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.8,31.7,181,271
1/6/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.5,31,179,282
1/10/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.5,32.7,180,274
13-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.2,31.8,174,263
17-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,27,32.7,179,268
20-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.3,32,173,271
24-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,27,33,178,268
27-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26,31.5,170,272
31-01-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,27,32.7,175,273
2/3/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,24.8,30.5,177,271
2/7/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.5,30.8,178,271
2/10/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.8,32.5,183,276
14-02-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.7,31,178,269
17-02-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,27.2,33.2,183,270
21-02-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.8,31.3,186,280
24-02-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,26.8,32.8,180,272
28-02-07,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.8,31.1,185,278
3/3/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.1,30.8,169,261
3/7/2007,Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial Areas,25.3,30.6,165,255
