Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
162,January - M011999,West Bengal,Calcutta,NA,Industrial Area,150.8,69.7,NA,617
163,January - M011999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",150.6,79.2,NA,436
164,January - M011999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",15.3,31.9,NA,358
162,February - M021999,West Bengal,Calcutta,NA,Industrial Area,149.5,68.5,NA,601
163,February - M021999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",188.4,70,NA,441
164,February - M021999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",44,35.5,NA,227
162,March - M031999,West Bengal,Calcutta,NA,Industrial Area,108.9,41.6,NA,641
163,March - M031999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",55.5,38.9,NA,326
164,March - M031999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",17.5,17.5,NA,241
162,April - M041999,West Bengal,Calcutta,NA,Industrial Area,35.5,20.8,NA,491
163,April - M041999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6.7,10.4,NA,280
164,April - M041999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.8,5.3,NA,215
162,May - M051999,West Bengal,Calcutta,NA,Industrial Area,47.3,34.7,NA,248
163,May - M051999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.8,19.9,NA,169
164,May - M051999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.7,14.2,NA,142
162,June - M061999,West Bengal,Calcutta,NA,Industrial Area,32.9,26,NA,280
163,June - M061999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6.8,16.9,NA,143
164,June - M061999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.7,8.8,NA,83
162,July - M071999,West Bengal,Calcutta,NA,Industrial Area,27.8,31.2,NA,221
163,July - M071999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.2,17.8,NA,153
164,July - M071999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.6,13.1,NA,95
162,August - M081999,West Bengal,Calcutta,NA,Industrial Area,25.8,29.2,NA,220
163,August - M081999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.7,27,NA,177
164,August - M081999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.7,10.1,NA,134
162,September - M091999,West Bengal,Calcutta,NA,Industrial Area,12.6,16.9,NA,180
163,September - M091999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6.2,13.9,NA,157
164,September - M091999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.4,11.2,NA,124
162,October - M101999,West Bengal,Calcutta,NA,Industrial Area,67.8,32.3,NA,243
163,October - M101999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",26.9,25.8,NA,216
164,October - M101999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",12.5,13.2,NA,153
162,November - M111999,West Bengal,Calcutta,NA,Industrial Area,51.3,32.6,NA,414
163,November - M111999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",42.7,25.7,NA,382
164,November - M111999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",14.5,22.5,NA,504
162,December - M121999,West Bengal,Calcutta,NA,Industrial Area,69,46.3,NA,526
163,December - M121999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",57.5,52.7,NA,486
164,December - M121999,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",28.3,45.5,NA,491
