"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
327,05-07-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,7,35,NA
327,05-09-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",3,5,32,NA
327,14-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",7,5,21,NA
327,16-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",3,5,13,NA
327,21-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",5,11,28,NA
327,23-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,6,21,NA
327,28-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,8,29,NA
327,28-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",3,8,32,NA
37,01-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,9,64,NA
37,01-07-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,6,65,NA
37,01-09-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,4,7,59,NA
37,14-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,85,NA
37,16-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,67,NA
37,21-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,5,67,NA
37,23-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,11,53,NA
37,28-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,13,58,NA
37,30-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,60,NA
37,02-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,5,12,85,NA
37,02-06-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,9,75,NA
37,02-11-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,6,7,56,NA
37,13-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,6,9,26,NA
37,18-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,4,10,63,NA
37,20-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,37,NA
37,25-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,10,73,NA
37,27-02-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,11,46,NA
37,03-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,11,36,NA
37,03-06-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,14,43,NA
37,03-11-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,10,46,NA
37,13-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,7,52,NA
37,18-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,5,49,NA
37,20-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,33,NA
37,25-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,4,9,54,NA
37,27-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,4,8,38,NA
37,04-01-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,14,27,NA
37,04-03-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,5,13,126,NA
37,04-08-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,6,39,NA
37,04-10-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,55,NA
37,15-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,6,44,NA
37,17-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,2,5,40,NA
37,22-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,6,8,59,NA
37,24-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,5,49,NA
37,29-04-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,5,6,42,NA
37,05-06-14,Goa,Vasco,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",Goa State Pollution Control Board,Industrial Area,3,11,44,NA
