Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
34,January - M011999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.3,3.9,NA,22
35,January - M011999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.6,15.1,NA,73
117,January - M011999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7,NA,161
118,January - M011999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.5,NA,341
119,January - M011999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,9.7,NA,172
132,January - M011999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,10.9,NA,265
268,January - M011999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,7,NA,144
271,January - M011999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,13.8,NA,192
34,February - M021999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.4,2.9,NA,36
35,February - M021999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.8,10.3,NA,104
117,February - M021999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.8,NA,123
118,February - M021999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.4,NA,253
119,February - M021999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,15.4,NA,128
132,February - M021999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,13.6,NA,233
268,February - M021999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,7.1,NA,143
271,February - M021999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,8,NA,192
34,March - M031999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,10.7,8.5,NA,163
35,March - M031999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.5,14.4,NA,13
117,March - M031999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.6,NA,237
118,March - M031999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.1,NA,119
119,March - M031999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,14.2,NA,176
132,March - M031999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,17,NA,219
268,March - M031999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,6.6,NA,124
271,March - M031999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,7.1,NA,214
34,April - M041999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,12.8,8.9,NA,147
35,April - M041999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.3,11.8,NA,42
117,April - M041999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.5,NA,168
118,April - M041999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.7,NA,226
119,April - M041999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,16.4,NA,291
132,April - M041999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,19.2,NA,397
268,April - M041999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,4.6,NA,153
271,April - M041999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,5.1,NA,260
34,May - M051999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.6,4.2,NA,65
35,May - M051999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",2.1,3.7,NA,199
117,May - M051999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.9,NA,155
118,May - M051999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.2,NA,232
119,May - M051999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,16.4,NA,372
132,May - M051999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,17.3,NA,332
268,May - M051999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,5.4,NA,134
271,May - M051999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,5.3,NA,304
34,June - M061999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.9,2.8,NA,106
35,June - M061999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",5.3,8.7,NA,118
117,June - M061999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.2,NA,160
118,June - M061999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.3,NA,220
119,June - M061999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,14.7,NA,325
132,June - M061999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,18.5,NA,311
268,June - M061999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,3.4,NA,142
271,June - M061999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,4.5,NA,303
34,July - M071999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.6,4.7,NA,12
35,July - M071999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.2,11.4,NA,43
117,July - M071999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.3,NA,95
118,July - M071999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.8,NA,156
119,July - M071999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,13.3,NA,242
132,July - M071999,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,16.8,NA,282
268,July - M071999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.2,3,NA,102
271,July - M071999,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.3,2.9,NA,188
34,August - M081999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,2.6,8.2,NA,88
35,August - M081999,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",1.8,4.4,NA,17
117,August - M081999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,8.6,NA,94
118,August - M081999,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.6,NA,97
