Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
153,January - M011993,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",11.4,3.2,NA,NA
154,January - M011993,Gujarat,Ahmedabad,NA,Industrial Area,19.3,3.4,NA,233
155,January - M011993,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",26.1,4.4,NA,NA
50,January - M011993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",22.8,17.9,NA,NA
51,January - M011993,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,28.4,25.7,NA,NA
47,January - M011993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",16.3,22.6,NA,NA
101,January - M011993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,9,116.1,NA,NA
103,January - M011993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",14.4,106.4,NA,NA
102,January - M011993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",27.4,45.5,NA,NA
153,February - M021993,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",34.1,7.7,NA,NA
154,February - M021993,Gujarat,Ahmedabad,NA,Industrial Area,46.6,4.9,NA,NA
155,February - M021993,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",40.4,6,NA,NA
50,February - M021993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",27.3,16.8,NA,NA
51,February - M021993,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,29.4,26.9,NA,NA
47,February - M021993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",27,28.8,NA,NA
101,February - M021993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,17.2,51.4,NA,NA
103,February - M021993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",8.6,37.6,NA,NA
102,February - M021993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",35.7,28.1,NA,NA
153,March - M031993,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",14.5,8.7,NA,NA
154,March - M031993,Gujarat,Ahmedabad,NA,Industrial Area,24,9.3,NA,NA
155,March - M031993,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",16.8,7.3,NA,NA
50,March - M031993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",16.8,24.1,NA,NA
51,March - M031993,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,13.1,46.5,NA,NA
47,March - M031993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",12.7,15.8,NA,NA
22,March - M031993,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,62.7,82.5,NA,NA
23,March - M031993,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",51.6,76.6,NA,NA
21,March - M031993,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",42.3,102,NA,NA
101,March - M031993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,13.3,68.8,NA,NA
103,March - M031993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",23.8,51.8,NA,NA
102,March - M031993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",25.2,16.9,NA,NA
153,April - M041993,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",13.5,5,NA,NA
154,April - M041993,Gujarat,Ahmedabad,NA,Industrial Area,30,6.1,NA,NA
155,April - M041993,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",19.3,4.8,NA,NA
50,April - M041993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",18.7,10,NA,NA
51,April - M041993,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,22.5,35.7,NA,NA
47,April - M041993,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",23.8,16.9,NA,NA
22,April - M041993,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,27.8,38,NA,NA
23,April - M041993,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",46.7,37.2,NA,NA
21,April - M041993,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",29.3,46,NA,NA
101,April - M041993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,16.6,41.2,NA,NA
103,April - M041993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",11.6,32.9,NA,NA
102,April - M041993,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",61.1,38.9,NA,NA
252,April - M041993,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,Industrial Area,26.4,13.8,NA,NA
253,April - M041993,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17.8,22.7,NA,NA
153,May - M051993,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",19.3,6.1,NA,NA
