Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
64,January - M011993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",7,15.7,NA,NA
92,January - M011993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",3.9,10.6,NA,NA
93,January - M011993,Pondichery,Pondichery,PNPB,Industrial Area,20.8,23.9,NA,NA
64,February - M021993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",5.5,17.8,NA,NA
92,February - M021993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",5.1,13.9,NA,NA
93,February - M021993,Pondichery,Pondichery,PNPB,Industrial Area,17.1,28.7,NA,NA
64,March - M031993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",8.8,31.4,NA,NA
92,March - M031993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",11.5,34.5,NA,NA
93,March - M031993,Pondichery,Pondichery,PNPB,Industrial Area,25.7,33.9,NA,NA
64,April - M041993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",14.5,26.8,NA,NA
92,April - M041993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",4.8,17.8,NA,NA
93,April - M041993,Pondichery,Pondichery,PNPB,Industrial Area,17.9,25.7,NA,NA
64,May - M051993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",7.6,26.5,NA,NA
92,May - M051993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",6.1,23,NA,NA
93,May - M051993,Pondichery,Pondichery,PNPB,Industrial Area,27.8,57.3,NA,NA
64,June - M061993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",10.8,27.7,NA,NA
92,June - M061993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",7.2,45.6,NA,NA
93,June - M061993,Pondichery,Pondichery,PNPB,Industrial Area,33,54,NA,NA
64,July - M071993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",21.5,39.4,NA,NA
92,July - M071993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",19.8,28.8,NA,NA
93,July - M071993,Pondichery,Pondichery,PNPB,Industrial Area,48.4,44.3,NA,NA
64,August - M081993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",15.5,37.7,NA,NA
92,August - M081993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",9.1,24.8,NA,NA
93,August - M081993,Pondichery,Pondichery,PNPB,Industrial Area,25.8,38.4,NA,NA
64,September - M091993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",19.3,47,NA,NA
92,September - M091993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",15.5,20.5,NA,NA
93,September - M091993,Pondichery,Pondichery,PNPB,Industrial Area,32.2,26,NA,NA
64,October - M101993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",7.8,33.6,NA,NA
92,October - M101993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",10.6,19,NA,NA
93,October - M101993,Pondichery,Pondichery,PNPB,Industrial Area,41.1,36.4,NA,NA
64,November - M111993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",24.6,44.4,NA,NA
92,November - M111993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",8.9,18.8,NA,NA
93,November - M111993,Pondichery,Pondichery,PNPB,Industrial Area,45,45.1,NA,NA
64,December - M121993,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",13.1,33.6,NA,NA
92,December - M121993,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",15,38.2,NA,NA
93,December - M121993,Pondichery,Pondichery,PNPB,Industrial Area,37.8,41.3,NA,NA
