Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
2,1/2/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",14.5,8.5,NA,449
3,1/4/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,15.1,8.6,NA,702
4,1/1/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",13.4,7.8,NA,360
7,18-01-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,68,44.3,NA,636
1,1/1/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,26.2,33.1,NA,308
2,2/3/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",16.4,10.2,NA,673
3,2/1/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,20.5,13.5,NA,678
4,2/2/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",17.6,16.1,NA,631
7,17-02-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,57.7,42.6,NA,466
1,2/1/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,15,18.1,NA,337
7,3/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,39.4,36,NA,520
5,3/7/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,511
4,16-03-88,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.5,8.7,NA,628
2,16-03-88,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",11.3,5.2,NA,948
3,14-03-88,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,7.6,5.8,NA,806
1,3/1/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,13.1,13.4,NA,334
7,18-04-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,36.1,34.9,NA,642
4,4/5/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.3,8.4,NA,319
2,4/3/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",4.9,3.6,NA,514
3,4/4/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,6.5,4.2,NA,510
1,4/1/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,11.7,17.7,NA,427
6,16-05-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,53.4,53.9,NA,658
7,16-05-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,34,34.4,NA,760
4,5/3/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.2,5.2,NA,318
3,5/2/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,7.4,4.7,NA,313
1,5/2/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,5.3,11,NA,662
6,6/1/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,40.2,37.6,NA,358
7,17-06-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,33.2,33.7,NA,371
1,6/2/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,7.5,10.9,NA,315
6,22-07-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,198
7,7/11/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,221
1,7/1/1988,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,3.3,6.3,NA,82
6,17-08-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,175
4,8/6/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.4,3.8,NA,111
2,8/1/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,221
3,8/2/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,6.9,3.7,NA,200
7,17-08-88,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,201
1,27-08-88,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,3.7,7.6,NA,68
1,15-09-88,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,4.9,6.4,NA,147
2,9/1/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",10.2,4,NA,158
3,9/6/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,8.1,4.9,NA,109
6,9/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,137
7,9/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,196
5,10/1/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,NA,NA,213
4,10/1/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",14,15.9,NA,207
2,10/3/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",23.2,12.3,NA,441
3,10/4/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,22.4,11.6,NA,356
7,10/5/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,36.3,46.8,NA,269
6,10/5/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,38.3,26.1,NA,202
4,11/4/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",38.5,12.6,NA,438
2,11/2/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",38,15.2,NA,556
3,11/1/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,38.2,16.7,NA,415
7,11/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,48.8,27.3,NA,399
6,11/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,53.4,28.9,NA,361
1,16-12-88,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,19.2,9.3,NA,352
5,12/1/1988,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,Industrial Area,NA,7.5,NA,507
2,12/3/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",18,9.2,NA,491
3,12/1/1988,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,12.7,9.8,NA,514
7,12/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,72.6,40.5,NA,426
6,12/2/1988,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,63.4,36,NA,322
