Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
68,January - M012000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,6,21.6,NA,172
70,January - M012000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",4,31.8,NA,202
226,January - M012000,Orissa,Rourkela,Orissa Pollution Control Board,NA,19.9,29,NA,147
227,January - M012000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15,11.2,NA,175
228,January - M012000,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.6,21.9,NA,94
229,January - M012000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15,23.6,NA,118
231,January - M012000,Orissa,Nalco,Orissa Pollution Control Board,NA,12.7,24.8,NA,121
68,February - M022000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,10.8,26.3,NA,190
70,February - M022000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",7.4,31.4,NA,159
226,February - M022000,Orissa,Rourkela,Orissa Pollution Control Board,NA,13.8,22.2,NA,155
227,February - M022000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.4,15.9,NA,125
228,February - M022000,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.7,16.6,NA,96
229,February - M022000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.3,22.8,NA,112
231,February - M022000,Orissa,Nalco,Orissa Pollution Control Board,NA,7.3,28,NA,105
68,March - M032000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,4.6,20,NA,200
70,March - M032000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",5.3,37.1,NA,243
226,March - M032000,Orissa,Rourkela,Orissa Pollution Control Board,NA,14.8,19.6,NA,NA
227,March - M032000,Orissa,Rourkela,Orissa Pollution Control Board,NA,14.2,14.3,NA,221
228,March - M032000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.2,25.7,NA,124
229,March - M032000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.2,25.7,NA,124
231,March - M032000,Orissa,Nalco,Orissa Pollution Control Board,NA,4.8,28.9,NA,104
68,April - M042000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,4.3,16.3,NA,194
70,April - M042000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",7.5,29.2,NA,152
226,April - M042000,Orissa,Rourkela,Orissa Pollution Control Board,NA,19.2,20.9,NA,139
227,April - M042000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15.4,12.5,NA,209
228,April - M042000,Orissa,Rourkela,Orissa Pollution Control Board,NA,10.3,14.6,NA,110
229,April - M042000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.5,27.7,NA,136
231,April - M042000,Orissa,Nalco,Orissa Pollution Control Board,NA,6.7,32,NA,111
68,May - M052000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,4.1,18.6,NA,128
70,May - M052000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",4.5,32.5,NA,99
226,May - M052000,Orissa,Rourkela,Orissa Pollution Control Board,NA,22.2,23.7,NA,134
227,May - M052000,Orissa,Rourkela,Orissa Pollution Control Board,NA,21.9,20,NA,119
228,May - M052000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.5,18.6,NA,94
229,May - M052000,Orissa,Rourkela,Orissa Pollution Control Board,NA,18.9,31.1,NA,140
231,May - M052000,Orissa,Nalco,Orissa Pollution Control Board,NA,6,28.5,NA,73
68,June - M062000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,4.6,20.1,NA,71
70,June - M062000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",4.5,33.9,NA,335
226,June - M062000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.1,17.1,NA,72
227,June - M062000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.1,17.1,NA,74
228,June - M062000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9,12.4,NA,93
229,June - M062000,Orissa,Rourkela,Orissa Pollution Control Board,NA,14.6,31.6,NA,99
231,June - M062000,Orissa,Nalco,Orissa Pollution Control Board,NA,3.4,22.7,NA,100
68,July - M072000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,5.9,20.1,NA,187
70,July - M072000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",3.7,30.2,NA,141
226,July - M072000,Orissa,Rourkela,Orissa Pollution Control Board,NA,18.5,22.5,NA,129
227,July - M072000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17,16,NA,76
228,July - M072000,Orissa,Rourkela,Orissa Pollution Control Board,NA,10.4,20.2,NA,99
229,July - M072000,Orissa,Rourkela,Orissa Pollution Control Board,NA,16.8,21,NA,106
231,July - M072000,Orissa,Nalco,Orissa Pollution Control Board,NA,4.4,13.2,NA,114
68,August - M082000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,4.5,14.7,NA,90
70,August - M082000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",4,29.3,NA,88
226,August - M082000,Orissa,Rourkela,Orissa Pollution Control Board,NA,20.2,23.5,NA,72
227,August - M082000,Orissa,Rourkela,Orissa Pollution Control Board,NA,13.6,11,NA,36
228,August - M082000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.4,11.1,NA,77
229,August - M082000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.2,20.4,NA,89
231,August - M082000,Orissa,Nalco,Orissa Pollution Control Board,NA,6.3,16.4,NA,58
68,September - M092000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,5.4,17.1,NA,127
70,September - M092000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",7.5,26.1,NA,86
226,September - M092000,Orissa,Rourkela,Orissa Pollution Control Board,NA,21.2,24.5,NA,113
227,September - M092000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15.7,14.4,NA,65
228,September - M092000,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.5,13.3,NA,91
229,September - M092000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15.9,23.2,NA,115
231,September - M092000,Orissa,Nalco,Orissa Pollution Control Board,NA,6.3,19.6,NA,48
68,October - M102000,Orissa,Talcher,Orissa Pollution Control Board,Industrial Area,5.1,21.6,NA,118
70,October - M102000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",7.1,26,NA,160
226,October - M102000,Orissa,Rourkela,Orissa Pollution Control Board,NA,17.6,22.4,NA,222
227,October - M102000,Orissa,Rourkela,Orissa Pollution Control Board,NA,14.7,14.2,NA,103
228,October - M102000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.3,16.4,NA,102
229,October - M102000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.9,24.2,NA,174
231,October - M102000,Orissa,Nalco,Orissa Pollution Control Board,NA,5.5,15.5,NA,99
70,November - M112000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",6.2,21.8,NA,151
226,November - M112000,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.5,18.1,NA,170
227,November - M112000,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.2,13.6,NA,158
228,November - M112000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.8,15.6,NA,100
229,November - M112000,Orissa,Rourkela,Orissa Pollution Control Board,NA,15.4,23.3,NA,126
231,November - M112000,Orissa,Nalco,Orissa Pollution Control Board,NA,6.1,16.3,NA,110
70,December - M122000,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",5.4,24.8,NA,214
226,December - M122000,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.9,19,NA,264
227,December - M122000,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.7,13.4,NA,204
228,December - M122000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.3,19.4,NA,103
229,December - M122000,Orissa,Rourkela,Orissa Pollution Control Board,NA,12.5,24.9,NA,125
231,December - M122000,Orissa,Nalco,Orissa Pollution Control Board,NA,4.6,20.8,NA,146
