Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
122,January - M011991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15.7,20.6,NA,601
123,January - M011991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,8,13.9,NA,175
124,January - M011991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",14,27.5,NA,150
125,January - M011991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3.9,16.7,NA,166
84,January - M011991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",9.1,19.9,NA,298
82,January - M011991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,17.3,20.7,NA,118
83,January - M011991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.1,40.1,NA,209
126,January - M011991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",33,43.4,NA,564
127,January - M011991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,45.4,50.6,NA,472
128,January - M011991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",31.1,40.9,NA,623
131,January - M011991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",23,25.6,NA,256
129,January - M011991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",24.6,16.5,NA,155
65,January - M011991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",31.5,37.4,NA,249
66,January - M011991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,22.9,NA,161
67,January - M011991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,25,NA,178
91,January - M011991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,36,41.5,NA,296
127,February - M021991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,41.5,46.4,NA,334
131,February - M021991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.3,21.8,NA,203
128,February - M021991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",36.6,45.8,NA,478
126,February - M021991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",36.6,45.4,NA,347
82,February - M021991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,13.8,24.1,NA,188
83,February - M021991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.5,36.5,NA,233
84,February - M021991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",4.7,16.4,NA,281
122,February - M021991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",18.7,9.3,NA,408
123,February - M021991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,9.4,4.4,NA,260
125,February - M021991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,160
124,February - M021991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.5,NA,NA,190
67,February - M021991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,30.8,NA,198
65,February - M021991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",36.3,43.4,NA,334
66,February - M021991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,26.1,NA,279
91,February - M021991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,39,43,NA,320
129,February - M021991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",22.1,17.7,NA,185
198,March - M031991,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,Industrial Area,8.9,20.6,NA,172
82,March - M031991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,20.9,26,NA,164
83,March - M031991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",12.2,26.2,NA,260
84,March - M031991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",13.7,26.3,NA,248
131,March - M031991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.6,13.6,NA,200
126,March - M031991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",26.1,33.2,NA,415
128,March - M031991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",28.8,38.1,NA,448
127,March - M031991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,29.5,37.8,NA,373
122,March - M031991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15.7,9,NA,249
124,March - M031991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.7,4.1,NA,247
125,March - M031991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.3,NA,NA,137
123,March - M031991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,8.4,5.8,NA,186
129,March - M031991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",4.5,10.4,NA,178
65,March - M031991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",36,61.2,NA,224
66,March - M031991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,22.6,15.5,NA,238
67,March - M031991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,20,NA,172
91,March - M031991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,29.9,45.4,NA,301
198,April - M041991,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,Industrial Area,3.7,15.8,NA,267
82,April - M041991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,31.1,22.2,NA,221
83,April - M041991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",9.8,24,NA,261
84,April - M041991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.9,27.9,NA,268
129,April - M041991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3.9,9.8,NA,175
123,April - M041991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,8.6,6.2,NA,195
124,April - M041991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,5.1,NA,160
125,April - M041991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3.5,4,NA,154
122,April - M041991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",17.6,8.9,NA,281
131,April - M041991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.6,15.8,NA,262
126,April - M041991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.3,23.1,NA,385
127,April - M041991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,22.4,28.5,NA,445
128,April - M041991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",27.7,32.8,NA,586
65,April - M041991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15.3,38.3,NA,228
91,April - M041991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,18.6,30.5,NA,293
67,April - M041991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,17.1,NA,181
66,April - M041991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,11.5,16.4,NA,264
198,May - M051991,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,Industrial Area,3.6,17.1,NA,306
122,May - M051991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",14.3,10.6,NA,312
123,May - M051991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,8.4,6.7,NA,204
124,May - M051991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,5.3,NA,202
125,May - M051991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3.7,4.5,NA,162
129,May - M051991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,9.5,NA,212
130,May - M051991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,16.8,16,NA,312
82,May - M051991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,39,19.7,NA,244
83,May - M051991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.9,22.3,NA,256
84,May - M051991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",4.5,33.1,NA,203
126,May - M051991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",13.8,29.4,NA,348
127,May - M051991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,17.8,34,NA,283
128,May - M051991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",23.6,40.8,NA,314
131,May - M051991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.6,22.3,NA,213
65,May - M051991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.3,26.7,NA,198
66,May - M051991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,18.3,NA,442
67,May - M051991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,20.3,NA,211
91,May - M051991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,20.1,29.9,NA,284
82,June - M061991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,28.7,25.5,NA,220
83,June - M061991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.6,38.9,NA,223
84,June - M061991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.8,34.5,NA,209
129,June - M061991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",4.8,10.5,NA,222
130,June - M061991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,16,21.8,NA,319
127,June - M061991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,14.5,27,NA,450
131,June - M061991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.3,19.4,NA,197
126,June - M061991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.3,24.4,NA,337
128,June - M061991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",20.5,30.8,NA,279
125,June - M061991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",4.9,3.8,NA,130
124,June - M061991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",5.6,6.3,NA,144
123,June - M061991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,9.2,6.4,NA,153
122,June - M061991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",13,9.6,NA,201
67,June - M061991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,17.9,NA,131
65,June - M061991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15.2,22.3,NA,352
66,June - M061991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,17.9,NA,214
91,June - M061991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,15.7,23.3,NA,212
67,October - M101991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,20.3,NA,126
65,October - M101991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",14.9,34.5,NA,235
66,October - M101991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,18.3,NA,124
122,October - M101991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",18.5,9.8,NA,429
123,October - M101991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,9.7,7.7,NA,141
124,October - M101991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.8,4.7,NA,136
125,October - M101991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,5.3,NA,125
82,October - M101991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,9.3,20.9,NA,119
83,October - M101991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.2,14.9,NA,173
84,October - M101991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.9,17.9,NA,181
130,October - M101991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,20.6,17.1,NA,225
129,October - M101991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",12.6,11.5,NA,207
126,October - M101991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.4,12.6,NA,431
131,October - M101991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",3,13.4,NA,216
127,October - M101991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,10.2,15.4,NA,368
128,October - M101991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",9,14.5,NA,394
67,November - M111991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,26.9,NA,139
65,November - M111991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",28.6,42.8,NA,375
66,November - M111991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,27.4,NA,130
91,November - M111991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,47.8,NA,224
129,November - M111991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",12,11,NA,177
130,November - M111991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,15.9,14.3,NA,284
126,November - M111991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",9.1,14.1,NA,303
128,November - M111991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.9,13.2,NA,361
127,November - M111991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,11.9,15.4,NA,319
131,November - M111991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.2,9.2,NA,175
82,November - M111991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,12.5,19.3,NA,107
83,November - M111991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",36.5,19.3,NA,151
84,November - M111991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.6,19.7,NA,172
123,November - M111991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,12.9,20,NA,182
122,November - M111991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.4,11.5,NA,435
125,November - M111991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.4,4.3,NA,145
124,November - M111991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",7.4,4.9,NA,108
83,December - M121991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.6,22.3,NA,210
128,December - M121991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",9.9,12.8,NA,352
126,December - M121991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",10.2,13.3,NA,308
131,December - M121991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",6.7,9.8,NA,180
127,December - M121991,Madhya Pradesh,Indore,Madhya Pradesh  Pollution Control Board,Industrial Area,10,12.8,NA,378
82,December - M121991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,30.8,23.1,NA,142
84,December - M121991,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",15,21.1,NA,209
125,December - M121991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,4.8,NA,133
123,December - M121991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,Industrial Area,12.6,10.8,NA,157
122,December - M121991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",17,16.5,NA,359
124,December - M121991,Madhya Pradesh,Bhopal,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,7.9,NA,113
129,December - M121991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",11.4,12.5,NA,230
130,December - M121991,Madhya Pradesh,Satna,Madhya Pradesh  Pollution Control Board,Industrial Area,16.4,14.4,NA,284
67,December - M121991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",NA,26.7,NA,171
65,December - M121991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.3,26,NA,298
66,December - M121991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,NA,21.4,NA,144
91,December - M121991,Madhya Pradesh,Bhilai,Madhya Pradesh  Pollution Control Board,Industrial Area,21,26.8,NA,469
