Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
196,January - M011998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,29.9,20.1,NA,148
196,February - M021998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,28.4,22.1,NA,165
43,February - M021998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,38.7,11.8,NA,516
196,March - M031998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.1,24.2,NA,249
43,March - M031998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,38.3,16.4,NA,377
43,April - M041998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,38.5,15.9,NA,364
196,April - M041998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,35.2,23.9,NA,327
196,May - M051998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.7,23.6,NA,308
43,May - M051998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,38,14.4,NA,430
196,June - M061998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,26.5,12.5,NA,181
43,June - M061998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,31.9,11.7,NA,280
196,July - M071998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,34.4,26,NA,225
43,July - M071998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,22.7,9.1,NA,236
196,August - M081998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,20.5,16.1,NA,87
43,August - M081998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,28.6,13,NA,249
196,September - M091998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,36.5,28,NA,194
43,September - M091998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,28.7,11.4,NA,279
43,October - M101998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,38.1,13.5,NA,461
196,November - M111998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,39.9,30.5,NA,347
43,November - M111998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,37.6,12.9,NA,443
196,December - M121998,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.4,27.5,NA,326
43,December - M121998,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,39.8,13.4,NA,448
