Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
5/5/2009,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,3.3,11.4,58,82
1/1/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.3,6.9,46,66
1/5/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,6,28,40
1/8/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.6,7.4,50,74
1/12/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.4,10.7,51,84
15/1/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.7,11.3,40,63
19/1/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.4,8.4,47,72
22/1/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.3,7.9,59,87
29/1/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.1,7.2,30,43
2/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.4,6.8,40,68
2/5/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.3,NA,47,69
2/9/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.4,7.8,40,63
2/12/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,8.4,62,98
16/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3,7.8,54,81
19/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,NA,NA,37,53
23/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.4,5.3,42,75
26/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.3,NA,25,40
3/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,NA,6.2,46,74
3/5/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.2,5.3,53,86
3/9/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.5,8.9,34,57
3/12/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.3,NA,38,61
16/3/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.1,6.2,39,60
19/3/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.4,6,43,70
23/3/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.8,6,37,58
26/3/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,6.2,35,61
30/3/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.3,NA,37,61
4/2/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.4,9.6,28,48
4/6/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.8,8.3,28,44
4/9/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,NA,38,62
13/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,NA,7.2,42,61
16/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,5.4,47,69
20/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3,5.3,38,57
23/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.4,6,41,70
27/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3.1,5.3,30,47
30/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,3,5.3,21,35
5/4/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,NA,NA,41,67
5/7/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.7,6.1,23,41
5/11/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,NA,NA,33,54
14/5/2009,Pondicherry,Pondicherry,Chamber of Commerce,Residential and others,2.9,6.3,33,55
29/4/2009,Pondicherry,Pondicherry,DSTC Office,Residential and others,3.7,11.2,43,68
5/2/2009,Pondicherry,Pondicherry,DSTC Office,Residential and others,4.7,11,42,65
5/6/2009,Pondicherry,Pondicherry,DSTC Office,Residential and others,NA,11.8,44,62
5/9/2009,Pondicherry,Pondicherry,DSTC Office,Residential and others,2.3,13.1,46,69
