Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
196,January - M011996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.8,23.5,NA,267
42,January - M011996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",30.3,11.6,NA,261
43,January - M011996,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,31.2,12.4,NA,261
196,February - M021996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.7,21.1,NA,222
43,February - M021996,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,40.7,14.9,NA,374
42,February - M021996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",37.1,14,NA,330
196,March - M031996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,27.1,19.5,NA,221
42,March - M031996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",36.3,13.1,NA,312
43,March - M031996,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,39.7,14.2,NA,329
196,April - M041996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,36.6,24.1,NA,347
42,April - M041996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",37.4,13.1,NA,319
196,May - M051996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,35.2,18.3,NA,281
42,May - M051996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",36.5,12.8,NA,320
43,May - M051996,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,40.2,14.6,NA,328
196,June - M061996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.2,15.5,NA,281
42,June - M061996,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",25.1,9.4,NA,241
43,June - M061996,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,28.7,12.5,NA,310
196,July - M071996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,32,19,NA,NA
196,August - M081996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,22.5,11.9,NA,130
196,September - M091996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,31.1,14.5,NA,127
196,October - M101996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.1,16.9,NA,261
196,December - M121996,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.2,19,NA,NA
