Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
1,July - M072001,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,8.2,7.3,NA,164
1,August - M082001,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,8.8,7.1,NA,197
1,September - M092001,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,10.1,8.1,NA,250
1,October - M102001,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,10.9,9.3,NA,286
1,December - M122001,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,9.9,8.6,NA,279
2,January - M012001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",10,9.7,NA,597
2,February - M022001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",10.6,9,NA,615
2,March - M032001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",14.1,12.2,NA,670
2,April - M042001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",9.9,7.4,NA,474
2,May - M052001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",9.7,8,NA,584
2,June - M062001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",10.1,9,NA,490
2,July - M072001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",10.5,9.2,NA,173
2,August - M082001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",11.5,9.9,NA,372
2,September - M092001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",12.6,11.2,NA,392
2,October - M102001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,"Residential, Rural and other Areas",12.2,11,NA,439
3,January - M012001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,411
3,February - M022001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,425
3,March - M032001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,393
3,April - M042001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,313
3,May - M052001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,378
3,June - M062001,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial Area,NA,NA,NA,77
6,January - M012001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,68.4,71.3,NA,307
6,February - M022001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,70.4,73.1,NA,317
6,March - M032001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,58.9,65,NA,286
6,April - M042001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,62.7,66.7,NA,316
6,May - M052001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,56,59.6,NA,349
6,June - M062001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,50.2,58.5,NA,231
6,July - M072001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,38.1,47,NA,128
6,August - M082001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,38.4,47.3,NA,157
6,September - M092001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,44.5,52.1,NA,204
6,October - M102001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,42.1,50.4,NA,236
6,November - M112001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,50.5,59.4,NA,300
6,December - M122001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,59.3,65.3,NA,357
7,January - M012001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,68.4,71.1,NA,202
7,February - M022001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,67,71.2,NA,304
