Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
149,January - M011996,Kerala,Cochin,NA,Industrial Area,12.4,6.2,NA,123
147,January - M011996,Kerala,Cochin,NA,"Residential, Rural and other Areas",8.4,5.9,NA,169
148,January - M011996,Kerala,Cochin,NA,"Residential, Rural and other Areas",10.8,7,NA,159
180,January - M011996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,37.7,25,NA,204
181,January - M011996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.9,21.1,NA,234
182,January - M011996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,1.6,20.3,NA,183
187,January - M011996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.7,8.8,NA,85
188,January - M011996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,0.9,22.2,NA,148
29,January - M011996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.6,8.3,NA,56
30,January - M011996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.5,8,NA,47
105,January - M011996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.2,26.8,NA,109
185,January - M011996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,0.7,8.9,NA,69
186,January - M011996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3.1,8.2,NA,119
149,February - M021996,Kerala,Cochin,NA,Industrial Area,7.5,11.1,NA,116
147,February - M021996,Kerala,Cochin,NA,"Residential, Rural and other Areas",9.1,15.6,NA,117
148,February - M021996,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.1,17.7,NA,153
180,February - M021996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,36.2,26.6,NA,182
181,February - M021996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,11.9,20.6,NA,208
182,February - M021996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,5,20.1,NA,169
188,February - M021996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,1.3,20,NA,143
187,February - M021996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1,8.7,NA,107
29,February - M021996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.4,16.4,NA,72
30,February - M021996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.3,11,NA,52
105,February - M021996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.4,14.1,NA,76
185,February - M021996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.6,8.5,NA,69
186,February - M021996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,2.1,8.7,NA,103
149,March - M031996,Kerala,Cochin,NA,Industrial Area,6.8,4.7,NA,98
147,March - M031996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.8,20.2,NA,141
148,March - M031996,Kerala,Cochin,NA,"Residential, Rural and other Areas",8.2,11.9,NA,170
180,March - M031996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,36.5,23.4,NA,189
181,March - M031996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,8.9,21.8,NA,195
182,March - M031996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,6.7,21.3,NA,181
187,March - M031996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.2,11.3,NA,72
188,March - M031996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,1.1,16.5,NA,170
29,March - M031996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.6,25,NA,89
30,March - M031996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.1,28,NA,44
105,March - M031996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.4,20.5,NA,73
185,March - M031996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3,17.4,NA,68
186,March - M031996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.5,7.7,NA,113
148,April - M041996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.1,16.2,NA,135
149,April - M041996,Kerala,Cochin,NA,Industrial Area,6,9.1,NA,80
147,April - M041996,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.2,19.7,NA,130
180,April - M041996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,38.2,23.6,NA,170
181,April - M041996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,8,22.5,NA,179
182,April - M041996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,8.5,22.7,NA,183
29,April - M041996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,12.8,19.9,NA,72
30,April - M041996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.3,18.4,NA,95
105,April - M041996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.2,19.9,NA,122
185,April - M041996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.7,35.3,NA,68
186,April - M041996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1,10.4,NA,62
187,April - M041996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.5,10.4,NA,83
188,April - M041996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,1.7,12.7,NA,92
149,May - M051996,Kerala,Cochin,NA,Industrial Area,6,8.1,NA,90
147,May - M051996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,12.6,NA,108
148,May - M051996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.5,9.7,NA,134
180,May - M051996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,34.9,25.2,NA,224
181,May - M051996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,9.4,25.5,NA,188
182,May - M051996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,6.7,24.7,NA,183
29,May - M051996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,11.5,17.5,NA,49
30,May - M051996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.9,109.5,NA,30
105,May - M051996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.5,16.9,NA,61
185,May - M051996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.7,15.2,NA,68
186,May - M051996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,0.6,10.6,NA,79
187,May - M051996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.2,10.6,NA,131
188,May - M051996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,2,19.9,NA,164
147,June - M061996,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.3,23.6,NA,84
149,June - M061996,Kerala,Cochin,NA,Industrial Area,6.5,10.8,NA,108
148,June - M061996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,21.1,NA,130
180,June - M061996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,35.8,24.8,NA,191
181,June - M061996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,11.1,24.4,NA,171
182,June - M061996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,11.8,24.6,NA,166
29,June - M061996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8,18.5,NA,80
30,June - M061996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.8,8.3,NA,77
105,June - M061996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.2,3.6,NA,64
186,June - M061996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.4,19.3,NA,157
185,June - M061996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.9,23.2,NA,237
187,June - M061996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.7,11.2,NA,47
188,June - M061996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,1.1,25.6,NA,96
149,July - M071996,Kerala,Cochin,NA,Industrial Area,6,8.8,NA,84
147,July - M071996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,19.8,NA,54
148,July - M071996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.2,32.2,NA,194
29,July - M071996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.2,11.1,NA,66
30,July - M071996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,19.5,16.2,NA,63
105,July - M071996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6,23.4,NA,84
186,July - M071996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.5,23,NA,152
185,July - M071996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3.9,21.8,NA,195
180,July - M071996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,36.8,25.4,NA,189
181,July - M071996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,12.5,24.5,NA,148
182,July - M071996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,12.5,25.3,NA,152
187,July - M071996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.4,13.2,NA,32
188,July - M071996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,0.4,20.3,NA,84
149,August - M081996,Kerala,Cochin,NA,Industrial Area,7,12.4,NA,113
147,August - M081996,Kerala,Cochin,NA,"Residential, Rural and other Areas",9,25.6,NA,65
148,August - M081996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.8,12.9,NA,52
30,August - M081996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.3,23.8,NA,49
105,August - M081996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.7,28.2,NA,58
29,August - M081996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.1,8.6,NA,52
185,August - M081996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3.3,21.9,NA,60
186,August - M081996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,1.1,15.9,NA,74
180,August - M081996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,32.6,24,NA,199
181,August - M081996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.4,22.9,NA,147
182,August - M081996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.8,23.6,NA,153
187,August - M081996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.4,10.5,NA,45
188,August - M081996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,0.5,15.1,NA,160
149,September - M091996,Kerala,Cochin,NA,Industrial Area,6.1,12,NA,144
147,September - M091996,Kerala,Cochin,NA,"Residential, Rural and other Areas",7,18.9,NA,180
148,September - M091996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,31.1,NA,69
186,September - M091996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,6.6,26.2,NA,95
185,September - M091996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,4,18.8,NA,91
29,September - M091996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.8,11.8,NA,53
30,September - M091996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,11,NA,34
105,September - M091996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,11.4,50.7,NA,83
180,September - M091996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,32.9,25.8,NA,186
181,September - M091996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,12.7,24.2,NA,186
182,September - M091996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,15.1,24,NA,168
187,September - M091996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.6,11.5,NA,18
188,September - M091996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,4.2,33,NA,107
147,October - M101996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,35.8,NA,115
148,October - M101996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6,35.9,NA,59
186,October - M101996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,4,12.2,NA,60
185,October - M101996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,2.5,12.9,NA,103
29,October - M101996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.5,10.6,NA,60
30,October - M101996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.6,12.8,NA,28
105,October - M101996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.6,28.1,NA,67
180,October - M101996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,27.8,24.7,NA,204
181,October - M101996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,11.3,24.4,NA,141
182,October - M101996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.2,23.8,NA,142
187,October - M101996,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.1,14.9,NA,33
188,October - M101996,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,2.8,55.2,NA,61
147,November - M111996,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.5,23.3,NA,94
148,November - M111996,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.1,30.9,NA,83
186,November - M111996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,0.6,12.6,NA,61
185,November - M111996,Kerala,Kozhikode,Kerala Pollution Control Board,NA,0.7,10.8,NA,80
29,November - M111996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.5,12,NA,67
30,November - M111996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.8,18.1,NA,27
105,November - M111996,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.4,22.6,NA,75
180,November - M111996,Kerala,Trivendrum,Kerala Pollution Control Board,NA,27.5,24.5,NA,200
