Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
78,July - M071990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,35.4,18.9,NA,157
79,July - M071990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",14.1,8.7,NA,93
80,July - M071990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,11.9,5.1,NA,127
81,July - M071990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",11.8,10.4,NA,38
40,August - M081990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,29.4,11.5,NA,215
41,August - M081990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,15.2,6.5,NA,43
77,August - M081990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,11,3.3,NA,194
78,August - M081990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,18.3,16.7,NA,159
79,August - M081990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",13.9,8.9,NA,175
80,August - M081990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,11.4,5.6,NA,43
81,August - M081990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",7.1,7.2,NA,38
39,September - M091990,Karnataka,Mysore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",26.3,5.6,NA,46
40,September - M091990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,24,4.6,NA,422
41,September - M091990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,15.5,9.4,NA,81
77,September - M091990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,9.2,6.2,NA,141
78,September - M091990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,26.1,22.1,NA,140
79,September - M091990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",11.7,9.6,NA,165
80,September - M091990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,14.4,4.9,NA,38
81,September - M091990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",8.4,9.8,NA,34
39,October - M101990,Karnataka,Mysore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",14.8,7.9,NA,56
40,October - M101990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,17.7,9.2,NA,333
41,October - M101990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,23.3,43.2,NA,66
77,October - M101990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,7.6,7.5,NA,81
78,October - M101990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,22.4,22,NA,220
79,October - M101990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",8.2,13.1,NA,65
80,October - M101990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,13.1,8.5,NA,32
39,November - M111990,Karnataka,Mysore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",24.6,38.6,NA,91
40,November - M111990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,32.9,6,NA,142
41,November - M111990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,37,9.2,NA,134
77,November - M111990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,6.4,5.8,NA,83
78,November - M111990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,30.4,11.9,NA,97
79,November - M111990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",8.9,10.1,NA,39
80,November - M111990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,7,11.2,NA,24
81,November - M111990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",9.9,11,NA,41
39,December - M121990,Karnataka,Mysore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",22.4,14.6,NA,23
40,December - M121990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,35.7,16.7,NA,154
41,December - M121990,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,21.5,12.1,NA,73
77,December - M121990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,7.5,3.4,NA,86
78,December - M121990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,14.2,14.4,NA,106
79,December - M121990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",10,9.3,NA,94
80,December - M121990,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,NA,NA,NA,NA
81,December - M121990,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",6,9.2,NA,27
