ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Scheme wise,RPO Ghaziabad,Tatkaal,310,1787,7120,08-07-18
Applications Received - Gender wise,RPO Ghaziabad,FEMALE,1923,7631,49212,08-07-18
Applications Received - Gender wise,RPO Ghaziabad,MALE,3831,13778,92395,08-07-18
Applications Received - Gender wise,RPO Ghaziabad,TRANSGENDER,0,2,8,08-07-18
Applications with Aadhaar Number,RPO Ghaziabad,Count of Applications,5754,21411,141615,08-07-18
Applications - Education Wise,RPO Ghaziabad,10TH PASS AND ABOVE,1671,6071,33891,08-07-18
Applications - Education Wise,RPO Ghaziabad,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Ghaziabad,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Ghaziabad,GRADUATE AND ABOVE,2414,9183,55716,08-07-18
Applications - Age Wise Wise,RPO Ghaziabad,Between_18_to_35,3250,11312,73378,08-07-18
Applications - Age Wise Wise,RPO Ghaziabad,Between_36_to_60,1487,5705,39674,08-07-18
Applications - Age Wise Wise,RPO Ghaziabad,GreaterThan60,387,1269,10106,08-07-18
Applications - Age Wise Wise,RPO Ghaziabad,LessThan18,630,3125,18457,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Challan,386350,992600,7708300,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Credit/ Debit Card,4042600,19265100,106155950,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Online,2281600,8730750,56605400,08-07-18
Applications Received - Service Wise,RPO Ghaziabad,FRESH,4213,14615,96915,08-07-18
Applications Received - Service Wise,RPO Ghaziabad,PCC,197,639,6070,08-07-18
Applications Received - Service Wise,RPO Ghaziabad,REISSUE,1339,6155,38582,08-07-18
Applications Granted - PV Mode wise,RPO Ghaziabad,No Verification,349,1398,11370,08-07-18
Applications Granted - PV Mode wise,RPO Ghaziabad,Post Verification,788,3557,21427,08-07-18
Applications Granted - PV Mode wise,RPO Ghaziabad,Pre Verification,3759,10661,81902,08-07-18
PV Processing Time,RPO Ghaziabad,More than 21 Days,88,1240,9690,08-07-18
PV Processing Time,RPO Ghaziabad,Within 21 Days,2484,10940,92926,08-07-18
Applications Received - Scheme wise,RPO Goa,Normal,1232,5364,33976,08-07-18
Applications Received - Scheme wise,RPO Goa,Tatkaal,24,48,297,08-07-18
Applications Received - Gender wise,RPO Goa,FEMALE,491,2302,14861,08-07-18
Applications Received - Gender wise,RPO Goa,MALE,680,2844,17737,08-07-18
Applications Received - Gender wise,RPO Goa,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Goa,Count of Applications,1171,5146,32598,08-07-18
Applications - Education Wise,RPO Goa,10TH PASS AND ABOVE,495,2184,13014,08-07-18
Applications - Education Wise,RPO Goa,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Goa,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Goa,GRADUATE AND ABOVE,277,1281,7626,08-07-18
Applications - Age Wise Wise,RPO Goa,Between_18_to_35,531,2410,13862,08-07-18
Applications - Age Wise Wise,RPO Goa,Between_36_to_60,374,1527,9989,08-07-18
Applications - Age Wise Wise,RPO Goa,GreaterThan60,107,509,3085,08-07-18
Applications - Age Wise Wise,RPO Goa,LessThan18,159,700,5662,08-07-18
Application Fee Online Payment - Mode Wise,RPO Goa,Challan,380350,1556200,6048850,08-07-18
Application Fee Online Payment - Mode Wise,RPO Goa,Credit/ Debit Card,860250,3983400,22513000,08-07-18
Application Fee Online Payment - Mode Wise,RPO Goa,Online,504150,1879050,12304800,08-07-18
Applications Received - Service Wise,RPO Goa,FRESH,623,2740,16575,08-07-18
Applications Received - Service Wise,RPO Goa,PCC,48,223,1707,08-07-18
Applications Received - Service Wise,RPO Goa,REISSUE,500,2183,14311,08-07-18
Applications Granted - PV Mode wise,RPO Goa,No Verification,51,278,1773,08-07-18
Applications Granted - PV Mode wise,RPO Goa,Post Verification,348,1486,10534,08-07-18
Applications Granted - PV Mode wise,RPO Goa,Pre Verification,648,2885,19167,08-07-18
PV Processing Time,RPO Goa,More than 21 Days,6,16,141,08-07-18
PV Processing Time,RPO Goa,Within 21 Days,872,3438,20358,08-07-18
Applications Received - Scheme wise,RPO Guwahati,Normal,3072,11163,63475,08-07-18
Applications Received - Scheme wise,RPO Guwahati,Tatkaal,215,971,4424,08-07-18
Applications Received - Gender wise,RPO Guwahati,FEMALE,1288,4604,25034,08-07-18
Applications Received - Gender wise,RPO Guwahati,MALE,1999,7529,42864,08-07-18
Applications Received - Gender wise,RPO Guwahati,TRANSGENDER,0,1,1,08-07-18
Applications with Aadhaar Number,RPO Guwahati,Count of Applications,3287,12134,67899,08-07-18
Applications - Education Wise,RPO Guwahati,10TH PASS AND ABOVE,1240,4785,24754,08-07-18
Applications - Education Wise,RPO Guwahati,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Guwahati,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Guwahati,GRADUATE AND ABOVE,1139,4268,23720,08-07-18
Applications - Age Wise Wise,RPO Guwahati,Between_18_to_35,1808,6780,37358,08-07-18
Applications - Age Wise Wise,RPO Guwahati,Between_36_to_60,967,3491,20142,08-07-18
Applications - Age Wise Wise,RPO Guwahati,GreaterThan60,158,627,3999,08-07-18
Applications - Age Wise Wise,RPO Guwahati,LessThan18,354,1236,6400,08-07-18
Application Fee Online Payment - Mode Wise,RPO Guwahati,Challan,194800,562900,3592750,08-07-18
Application Fee Online Payment - Mode Wise,RPO Guwahati,Credit/ Debit Card,2187150,8865800,46042650,08-07-18
Application Fee Online Payment - Mode Wise,RPO Guwahati,Online,1932300,7267300,42148150,08-07-18
Applications Received - Service Wise,RPO Guwahati,FRESH,2703,9912,53894,08-07-18
Applications Received - Service Wise,RPO Guwahati,PCC,75,258,2346,08-07-18
Applications Received - Service Wise,RPO Guwahati,REISSUE,508,1963,11651,08-07-18
Applications Granted - PV Mode wise,RPO Guwahati,No Verification,610,2079,12821,08-07-18
Applications Granted - PV Mode wise,RPO Guwahati,Post Verification,565,2298,10549,08-07-18
Applications Granted - PV Mode wise,RPO Guwahati,Pre Verification,1296,4996,31478,08-07-18
PV Processing Time,RPO Guwahati,More than 21 Days,1453,6267,35378,08-07-18
PV Processing Time,RPO Guwahati,Within 21 Days,237,670,4204,08-07-18
Applications Received - Scheme wise,RPO Hyderabad,Normal,11198,41562,288725,08-07-18
Applications Received - Scheme wise,RPO Hyderabad,Tatkaal,351,1372,8181,08-07-18
Applications Received - Gender wise,RPO Hyderabad,FEMALE,4037,15518,111577,08-07-18
Applications Received - Gender wise,RPO Hyderabad,MALE,7511,27415,185321,08-07-18
Applications Received - Gender wise,RPO Hyderabad,TRANSGENDER,1,1,8,08-07-18
Applications with Aadhaar Number,RPO Hyderabad,Count of Applications,11549,42934,296906,08-07-18
Applications - Education Wise,RPO Hyderabad,10TH PASS AND ABOVE,4065,15232,96263,08-07-18
Applications - Education Wise,RPO Hyderabad,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Hyderabad,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Hyderabad,GRADUATE AND ABOVE,4030,15476,102315,08-07-18
Applications - Age Wise Wise,RPO Hyderabad,Between_18_to_35,6347,23706,150264,08-07-18
Applications - Age Wise Wise,RPO Hyderabad,Between_36_to_60,3167,11383,84651,08-07-18
Applications - Age Wise Wise,RPO Hyderabad,GreaterThan60,611,2384,19462,08-07-18
Applications - Age Wise Wise,RPO Hyderabad,LessThan18,1424,5461,42529,08-07-18
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Challan,246350,609000,4604400,08-07-18
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Credit/ Debit Card,5930950,27390250,178152700,08-07-18
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Online,6036950,23602800,159971350,08-07-18
Applications Received - Service Wise,RPO Hyderabad,FRESH,7460,26918,179707,08-07-18
Applications Received - Service Wise,RPO Hyderabad,PCC,441,1864,13766,08-07-18
Applications Received - Service Wise,RPO Hyderabad,REISSUE,3635,14115,103187,08-07-18
Applications Granted - PV Mode wise,RPO Hyderabad,No Verification,2642,10019,73784,08-07-18
Applications Granted - PV Mode wise,RPO Hyderabad,Post Verification,1000,4300,27213,08-07-18
Applications Granted - PV Mode wise,RPO Hyderabad,Pre Verification,6433,24728,170788,08-07-18
PV Processing Time,RPO Hyderabad,More than 21 Days,20,161,919,08-07-18
PV Processing Time,RPO Hyderabad,Within 21 Days,6752,30243,201900,08-07-18
Applications Received - Scheme wise,RPO Jaipur,Normal,9857,35693,223607,08-07-18
Applications Received - Scheme wise,RPO Jaipur,Tatkaal,312,1493,7732,08-07-18
Applications Received - Gender wise,RPO Jaipur,FEMALE,2854,10677,65414,08-07-18
Applications Received - Gender wise,RPO Jaipur,MALE,7315,26507,165914,08-07-18
Applications Received - Gender wise,RPO Jaipur,TRANSGENDER,0,1,6,08-07-18
Applications with Aadhaar Number,RPO Jaipur,Count of Applications,10169,37185,231334,08-07-18
Applications - Education Wise,RPO Jaipur,10TH PASS AND ABOVE,3547,12857,69185,08-07-18
Applications - Education Wise,RPO Jaipur,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Jaipur,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Jaipur,GRADUATE AND ABOVE,3089,11759,68263,08-07-18
Applications - Age Wise Wise,RPO Jaipur,Between_18_to_35,5961,21716,130104,08-07-18
Applications - Age Wise Wise,RPO Jaipur,Between_36_to_60,2654,9578,63166,08-07-18
Applications - Age Wise Wise,RPO Jaipur,GreaterThan60,541,1689,13030,08-07-18
Applications - Age Wise Wise,RPO Jaipur,LessThan18,1013,4202,25034,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jaipur,Challan,461250,1184000,9230600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jaipur,Credit/ Debit Card,4678950,23632450,129006750,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jaipur,Online,5065900,21722350,133484600,08-07-18
Applications Received - Service Wise,RPO Jaipur,FRESH,7660,27912,164487,08-07-18
Applications Received - Service Wise,RPO Jaipur,PCC,383,1376,14968,08-07-18
Applications Received - Service Wise,RPO Jaipur,REISSUE,2123,7890,51844,08-07-18
Applications Granted - PV Mode wise,RPO Jaipur,No Verification,704,2939,23329,08-07-18
Applications Granted - PV Mode wise,RPO Jaipur,Post Verification,845,3741,22935,08-07-18
Applications Granted - PV Mode wise,RPO Jaipur,Pre Verification,5080,21420,136372,08-07-18
PV Processing Time,RPO Jaipur,More than 21 Days,663,5293,30485,08-07-18
PV Processing Time,RPO Jaipur,Within 21 Days,5143,26339,147568,08-07-18
Applications Received - Scheme wise,RPO Jalandhar,Normal,9750,43945,246541,08-07-18
Applications Received - Scheme wise,RPO Jalandhar,Tatkaal,40,221,888,08-07-18
Applications Received - Gender wise,RPO Jalandhar,FEMALE,4125,18826,97083,08-07-18
Applications Received - Gender wise,RPO Jalandhar,MALE,5665,25331,150286,08-07-18
Applications Received - Gender wise,RPO Jalandhar,TRANSGENDER,0,1,3,08-07-18
Applications with Aadhaar Number,RPO Jalandhar,Count of Applications,9790,44158,247372,08-07-18
Applications - Education Wise,RPO Jalandhar,10TH PASS AND ABOVE,4940,22405,122853,08-07-18
Applications - Education Wise,RPO Jalandhar,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Jalandhar,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Jalandhar,GRADUATE AND ABOVE,1040,4638,23976,08-07-18
Applications - Age Wise Wise,RPO Jalandhar,Between_18_to_35,5016,22164,128363,08-07-18
Applications - Age Wise Wise,RPO Jalandhar,Between_36_to_60,2787,12658,70033,08-07-18
Applications - Age Wise Wise,RPO Jalandhar,GreaterThan60,545,2421,14430,08-07-18
Applications - Age Wise Wise,RPO Jalandhar,LessThan18,1442,6915,34546,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Challan,641600,2166900,15216150,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Credit/ Debit Card,4483050,21057050,122339600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Online,5079300,21103800,130708750,08-07-18
Applications Received - Service Wise,RPO Jalandhar,FRESH,5658,25756,133091,08-07-18
Applications Received - Service Wise,RPO Jalandhar,PCC,619,2313,20145,08-07-18
Applications Received - Service Wise,RPO Jalandhar,REISSUE,3513,16089,94127,08-07-18
Applications Granted - PV Mode wise,RPO Jalandhar,No Verification,618,2765,17631,08-07-18
Applications Granted - PV Mode wise,RPO Jalandhar,Post Verification,961,4904,27888,08-07-18
Applications Granted - PV Mode wise,RPO Jalandhar,Pre Verification,7805,34759,197307,08-07-18
PV Processing Time,RPO Jalandhar,More than 21 Days,4,89,3821,08-07-18
PV Processing Time,RPO Jalandhar,Within 21 Days,7641,37284,197576,08-07-18
Applications Received - Scheme wise,RPO Jammu,Normal,1500,4923,32896,08-07-18
Applications Received - Scheme wise,RPO Jammu,Tatkaal,0,1,1,08-07-18
Applications Received - Gender wise,RPO Jammu,FEMALE,373,1400,9263,08-07-18
Applications Received - Gender wise,RPO Jammu,MALE,1125,3414,23281,08-07-18
Applications Received - Gender wise,RPO Jammu,TRANSGENDER,0,0,1,08-07-18
Applications with Aadhaar Number,RPO Jammu,Count of Applications,1498,4814,32545,08-07-18
Applications - Education Wise,RPO Jammu,10TH PASS AND ABOVE,800,2722,18159,08-07-18
Applications - Education Wise,RPO Jammu,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Jammu,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Jammu,GRADUATE AND ABOVE,135,631,2577,08-07-18
Applications - Age Wise Wise,RPO Jammu,Between_18_to_35,876,2929,18325,08-07-18
Applications - Age Wise Wise,RPO Jammu,Between_36_to_60,377,1104,8668,08-07-18
Applications - Age Wise Wise,RPO Jammu,GreaterThan60,106,247,2702,08-07-18
Applications - Age Wise Wise,RPO Jammu,LessThan18,139,534,2850,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jammu,Challan,99450,360850,3025850,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jammu,Credit/ Debit Card,669250,3268250,18930850,08-07-18
Application Fee Online Payment - Mode Wise,RPO Jammu,Online,559050,2348500,15198700,08-07-18
Applications Received - Service Wise,RPO Jammu,FRESH,1161,3628,24722,08-07-18
Applications Received - Service Wise,RPO Jammu,PCC,109,363,2334,08-07-18
Applications Received - Service Wise,RPO Jammu,REISSUE,230,932,5832,08-07-18
Applications Granted - PV Mode wise,RPO Jammu,No Verification,103,359,2282,08-07-18
Applications Granted - PV Mode wise,RPO Jammu,Post Verification,12,26,104,08-07-18
Applications Granted - PV Mode wise,RPO Jammu,Pre Verification,813,3523,23873,08-07-18
PV Processing Time,RPO Jammu,More than 21 Days,1415,5706,25529,08-07-18
PV Processing Time,RPO Jammu,Within 21 Days,5,65,775,08-07-18
Applications Received - Scheme wise,RPO Kolkata,Normal,12714,51510,313719,08-07-18
Applications Received - Scheme wise,RPO Kolkata,Tatkaal,386,1668,10239,08-07-18
Applications Received - Gender wise,RPO Kolkata,FEMALE,4030,17617,101331,08-07-18
Applications Received - Gender wise,RPO Kolkata,MALE,9066,35559,222594,08-07-18
Applications Received - Gender wise,RPO Kolkata,TRANSGENDER,2,1,24,08-07-18
Applications with Aadhaar Number,RPO Kolkata,Count of Applications,13098,53177,323949,08-07-18
Applications - Education Wise,RPO Kolkata,10TH PASS AND ABOVE,4431,18017,102619,08-07-18
Applications - Education Wise,RPO Kolkata,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Kolkata,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Kolkata,GRADUATE AND ABOVE,3270,14448,83583,08-07-18
Applications - Age Wise Wise,RPO Kolkata,Between_18_to_35,6960,27209,168425,08-07-18
Applications - Age Wise Wise,RPO Kolkata,Between_36_to_60,3968,16254,98990,08-07-18
Applications - Age Wise Wise,RPO Kolkata,GreaterThan60,1082,3921,25016,08-07-18
Applications - Age Wise Wise,RPO Kolkata,LessThan18,1088,5793,31518,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kolkata,Challan,1299600,3793050,25388150,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kolkata,Credit/ Debit Card,7071900,33022800,183799550,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kolkata,Online,7734000,31760750,198388200,08-07-18
Applications Received - Service Wise,RPO Kolkata,FRESH,9725,38449,224731,08-07-18
Applications Received - Service Wise,RPO Kolkata,PCC,540,2385,24236,08-07-18
Applications Received - Service Wise,RPO Kolkata,REISSUE,2832,12336,74921,08-07-18
Applications Granted - PV Mode wise,RPO Kolkata,No Verification,2287,10541,72859,08-07-18
Applications Granted - PV Mode wise,RPO Kolkata,Post Verification,1509,6088,38125,08-07-18
Applications Granted - PV Mode wise,RPO Kolkata,Pre Verification,7462,29018,180585,08-07-18
PV Processing Time,RPO Kolkata,More than 21 Days,5323,24973,141475,08-07-18
PV Processing Time,RPO Kolkata,Within 21 Days,5096,18826,88594,08-07-18
Applications Received - Scheme wise,RPO Kozhikode,Normal,9832,32304,255414,08-07-18
Applications Received - Scheme wise,RPO Kozhikode,Tatkaal,467,1883,14032,08-07-18
Applications Received - Gender wise,RPO Kozhikode,FEMALE,3996,13080,117986,08-07-18
Applications Received - Gender wise,RPO Kozhikode,MALE,6303,21107,151459,08-07-18
Applications Received - Gender wise,RPO Kozhikode,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Kozhikode,Count of Applications,10299,34187,269445,08-07-18
Applications - Education Wise,RPO Kozhikode,10TH PASS AND ABOVE,4630,16181,110467,08-07-18
Applications - Education Wise,RPO Kozhikode,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Kozhikode,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Kozhikode,GRADUATE AND ABOVE,1002,3658,23249,08-07-18
Applications - Age Wise Wise,RPO Kozhikode,Between_18_to_35,4938,17376,115764,08-07-18
Applications - Age Wise Wise,RPO Kozhikode,Between_36_to_60,2627,7943,69246,08-07-18
Applications - Age Wise Wise,RPO Kozhikode,GreaterThan60,509,1602,16498,08-07-18
Applications - Age Wise Wise,RPO Kozhikode,LessThan18,2225,7266,67937,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Challan,214600,457500,4115600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Credit/ Debit Card,3088000,11795850,86561600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Online,9029400,29472800,218517400,08-07-18
Applications Received - Service Wise,RPO Kozhikode,FRESH,5958,19896,155601,08-07-18
Applications Received - Service Wise,RPO Kozhikode,PCC,316,1284,11762,08-07-18
Applications Received - Service Wise,RPO Kozhikode,REISSUE,4023,13006,102070,08-07-18
Applications Granted - PV Mode wise,RPO Kozhikode,No Verification,3015,10253,81449,08-07-18
Applications Granted - PV Mode wise,RPO Kozhikode,Post Verification,2048,5650,34288,08-07-18
Applications Granted - PV Mode wise,RPO Kozhikode,Pre Verification,4890,16529,144771,08-07-18
PV Processing Time,RPO Kozhikode,More than 21 Days,49,452,12668,08-07-18
PV Processing Time,RPO Kozhikode,Within 21 Days,4902,18750,149686,08-07-18
Applications Received - Scheme wise,RPO Lucknow,Normal,11813,48266,319085,08-07-18
Applications Received - Scheme wise,RPO Lucknow,Tatkaal,98,437,2837,08-07-18
Applications Received - Gender wise,RPO Lucknow,FEMALE,1860,8282,51562,08-07-18
Applications Received - Gender wise,RPO Lucknow,MALE,10051,40419,270349,08-07-18
Applications Received - Gender wise,RPO Lucknow,TRANSGENDER,0,0,6,08-07-18
Applications with Aadhaar Number,RPO Lucknow,Count of Applications,11911,48701,321917,08-07-18
Applications - Education Wise,RPO Lucknow,10TH PASS AND ABOVE,4921,19923,123021,08-07-18
Applications - Education Wise,RPO Lucknow,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Lucknow,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Lucknow,GRADUATE AND ABOVE,2486,11961,67968,08-07-18
Applications - Age Wise Wise,RPO Lucknow,Between_18_to_35,8742,35200,227843,08-07-18
Applications - Age Wise Wise,RPO Lucknow,Between_36_to_60,2201,9262,65300,08-07-18
Applications - Age Wise Wise,RPO Lucknow,GreaterThan60,437,1600,13405,08-07-18
Applications - Age Wise Wise,RPO Lucknow,LessThan18,531,2639,15369,08-07-18
Application Fee Online Payment - Mode Wise,RPO Lucknow,Challan,344950,961600,7527600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Lucknow,Credit/ Debit Card,5668500,26654150,142945950,08-07-18
Application Fee Online Payment - Mode Wise,RPO Lucknow,Online,10008250,37438550,242460300,08-07-18
Applications Received - Service Wise,RPO Lucknow,FRESH,8472,35143,212924,08-07-18
Applications Received - Service Wise,RPO Lucknow,PCC,1308,4402,48490,08-07-18
Applications Received - Service Wise,RPO Lucknow,REISSUE,2127,9153,60470,08-07-18
Applications Granted - PV Mode wise,RPO Lucknow,No Verification,1379,5340,50099,08-07-18
Applications Granted - PV Mode wise,RPO Lucknow,Post Verification,718,2856,19799,08-07-18
Applications Granted - PV Mode wise,RPO Lucknow,Pre Verification,8673,33787,217178,08-07-18
PV Processing Time,RPO Lucknow,More than 21 Days,499,5344,23605,08-07-18
PV Processing Time,RPO Lucknow,Within 21 Days,8030,36897,229586,08-07-18
Applications Received - Scheme wise,RPO Madurai,Normal,5928,24625,148211,08-07-18
Applications Received - Scheme wise,RPO Madurai,Tatkaal,19,82,471,08-07-18
Applications Received - Gender wise,RPO Madurai,FEMALE,1624,6607,43540,08-07-18
Applications Received - Gender wise,RPO Madurai,MALE,4323,18098,105138,08-07-18
Applications Received - Gender wise,RPO Madurai,TRANSGENDER,0,1,2,08-07-18
Applications with Aadhaar Number,RPO Madurai,Count of Applications,5947,24706,148680,08-07-18
Applications - Education Wise,RPO Madurai,10TH PASS AND ABOVE,2154,9466,54566,08-07-18
Applications - Education Wise,RPO Madurai,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Madurai,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Madurai,GRADUATE AND ABOVE,1979,8292,43706,08-07-18
Applications - Age Wise Wise,RPO Madurai,Between_18_to_35,3674,16097,87890,08-07-18
Applications - Age Wise Wise,RPO Madurai,Between_36_to_60,1354,5265,34768,08-07-18
Applications - Age Wise Wise,RPO Madurai,GreaterThan60,317,1106,7772,08-07-18
Applications - Age Wise Wise,RPO Madurai,LessThan18,602,2238,18250,08-07-18
Application Fee Online Payment - Mode Wise,RPO Madurai,Challan,160700,596450,4731200,08-07-18
Application Fee Online Payment - Mode Wise,RPO Madurai,Credit/ Debit Card,1937650,9979000,57474400,08-07-18
Application Fee Online Payment - Mode Wise,RPO Madurai,Online,2918800,13645500,81527700,08-07-18
Applications Received - Service Wise,RPO Madurai,FRESH,3999,17030,96379,08-07-18
Applications Received - Service Wise,RPO Madurai,PCC,329,1369,10813,08-07-18
Applications Received - Service Wise,RPO Madurai,REISSUE,1619,6306,41478,08-07-18
Applications Granted - PV Mode wise,RPO Madurai,No Verification,956,3457,27239,08-07-18
Applications Granted - PV Mode wise,RPO Madurai,Post Verification,604,2897,18396,08-07-18
Applications Granted - PV Mode wise,RPO Madurai,Pre Verification,3427,15777,93576,08-07-18
PV Processing Time,RPO Madurai,More than 21 Days,785,5859,36171,08-07-18
PV Processing Time,RPO Madurai,Within 21 Days,4041,15387,71158,08-07-18
Applications Received - Scheme wise,RPO Malappuram,Normal,0,0,0,08-07-18
Applications Received - Scheme wise,RPO Malappuram,Tatkaal,0,0,0,08-07-18
Applications Received - Gender wise,RPO Malappuram,FEMALE,0,0,0,08-07-18
Applications Received - Gender wise,RPO Malappuram,MALE,0,0,0,08-07-18
Applications Received - Gender wise,RPO Malappuram,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Malappuram,Count of Applications,0,0,0,08-07-18
Applications - Education Wise,RPO Malappuram,10TH PASS AND ABOVE,0,0,0,08-07-18
Applications - Education Wise,RPO Malappuram,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Malappuram,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Malappuram,GRADUATE AND ABOVE,0,0,0,08-07-18
Applications - Age Wise Wise,RPO Malappuram,Between_18_to_35,0,0,0,08-07-18
Applications - Age Wise Wise,RPO Malappuram,Between_36_to_60,0,0,0,08-07-18
Applications - Age Wise Wise,RPO Malappuram,GreaterThan60,0,0,0,08-07-18
Applications - Age Wise Wise,RPO Malappuram,LessThan18,0,0,0,08-07-18
Application Fee Online Payment - Mode Wise,RPO Malappuram,Challan,0,0,0,08-07-18
Application Fee Online Payment - Mode Wise,RPO Malappuram,Credit/ Debit Card,0,0,0,08-07-18
Application Fee Online Payment - Mode Wise,RPO Malappuram,Online,0,0,0,08-07-18
Applications Received - Service Wise,RPO Malappuram,FRESH,0,0,0,08-07-18
Applications Received - Service Wise,RPO Malappuram,PCC,0,0,0,08-07-18
Applications Received - Service Wise,RPO Malappuram,REISSUE,0,0,0,08-07-18
Applications Granted - PV Mode wise,RPO Malappuram,No Verification,0,0,6,08-07-18
Applications Granted - PV Mode wise,RPO Malappuram,Post Verification,0,0,2,08-07-18
Applications Granted - PV Mode wise,RPO Malappuram,Pre Verification,0,0,20,08-07-18
PV Processing Time,RPO Malappuram,More than 21 Days,0,0,4,08-07-18
PV Processing Time,RPO Malappuram,Within 21 Days,1,2,78,08-07-18
Applications Received - Scheme wise,RPO Mumbai,Normal,16537,71885,497002,08-07-18
Applications Received - Scheme wise,RPO Mumbai,Tatkaal,620,2666,18448,08-07-18
Applications Received - Gender wise,RPO Mumbai,FEMALE,6946,31133,221589,08-07-18
Applications Received - Gender wise,RPO Mumbai,MALE,10193,43375,293547,08-07-18
Applications Received - Gender wise,RPO Mumbai,TRANSGENDER,1,2,18,08-07-18
Applications with Aadhaar Number,RPO Mumbai,Count of Applications,17140,74510,515154,08-07-18
Applications - Education Wise,RPO Mumbai,10TH PASS AND ABOVE,6239,26958,169188,08-07-18
Applications - Education Wise,RPO Mumbai,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Mumbai,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Mumbai,GRADUATE AND ABOVE,6476,29892,201421,08-07-18
Applications - Age Wise Wise,RPO Mumbai,Between_18_to_35,7978,34354,216491,08-07-18
Applications - Age Wise Wise,RPO Mumbai,Between_36_to_60,5377,23328,167362,08-07-18
Applications - Age Wise Wise,RPO Mumbai,GreaterThan60,1493,5880,47274,08-07-18
Applications - Age Wise Wise,RPO Mumbai,LessThan18,2292,10948,84027,08-07-18
Application Fee Online Payment - Mode Wise,RPO Mumbai,Challan,1655100,4553850,36651450,08-07-18
Application Fee Online Payment - Mode Wise,RPO Mumbai,Credit/ Debit Card,12964300,65327100,415925350,08-07-18
Application Fee Online Payment - Mode Wise,RPO Mumbai,Online,3929700,16605100,119193050,08-07-18
