ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Age Wise Wise,RPO Bangalore,Between_18_to_35,7653,7653,29491,25-12-16
Applications - Age Wise Wise,RPO Bangalore,Between_36_to_60,4923,4923,18658,25-12-16
Applications - Age Wise Wise,RPO Bangalore,GreaterThan60,1398,1398,5584,25-12-16
Applications - Age Wise Wise,RPO Bangalore,LessThan18,2420,2420,9807,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Challan,2682000,2682000,12427000,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Credit/ Debit Card,12291000,12291000,63429500,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Online,6147500,6147500,29784000,25-12-16
Applications Received - Service Wise,RPO Bangalore,FRESH,9603,9603,35845,25-12-16
Applications Received - Service Wise,RPO Bangalore,PCC,329,329,1276,25-12-16
Applications Received - Service Wise,RPO Bangalore,REISSUE,6462,6462,23942,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,No Verification,5361,5361,21698,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,Post Verification,1062,1062,4149,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,Pre Verification,9169,9169,34223,25-12-16
PV Processing Time,RPO Bangalore,More than 21 Days,3242,3242,17857,25-12-16
PV Processing Time,RPO Bangalore,Within 21 Days,3703,3703,18644,25-12-16
Applications Received - Scheme wise,RPO Bareilly,Normal,3367,11495,71392,08-07-18
Applications Received - Scheme wise,RPO Bareilly,Tatkaal,36,173,764,08-07-18
Applications Received - Gender wise,RPO Bareilly,FEMALE,832,2656,16758,08-07-18
Applications Received - Gender wise,RPO Bareilly,MALE,2571,9012,55397,08-07-18
Applications Received - Gender wise,RPO Bareilly,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Bareilly,Count of Applications,3403,11668,72155,08-07-18
Applications - Education Wise,RPO Bareilly,10TH PASS AND ABOVE,1033,3519,19227,08-07-18
Applications - Education Wise,RPO Bareilly,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Bareilly,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Bareilly,GRADUATE AND ABOVE,705,2692,13884,08-07-18
Applications - Age Wise Wise,RPO Bareilly,Between_18_to_35,2294,8015,47339,08-07-18
Applications - Age Wise Wise,RPO Bareilly,Between_36_to_60,718,2343,15914,08-07-18
Applications - Age Wise Wise,RPO Bareilly,GreaterThan60,190,528,4302,08-07-18
Applications - Age Wise Wise,RPO Bareilly,LessThan18,201,782,4600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bareilly,Challan,94800,247000,2473600,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bareilly,Credit/ Debit Card,1257750,6231300,34781700,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bareilly,Online,2143650,7845150,49943250,08-07-18
Applications Received - Service Wise,RPO Bareilly,FRESH,2725,8779,52843,08-07-18
Applications Received - Service Wise,RPO Bareilly,PCC,167,1198,8126,08-07-18
Applications Received - Service Wise,RPO Bareilly,REISSUE,511,1690,11182,08-07-18
Applications Granted - PV Mode wise,RPO Bareilly,No Verification,224,1457,9870,08-07-18
Applications Granted - PV Mode wise,RPO Bareilly,Post Verification,170,674,4497,08-07-18
Applications Granted - PV Mode wise,RPO Bareilly,Pre Verification,2032,5977,45806,08-07-18
PV Processing Time,RPO Bareilly,More than 21 Days,30,310,2075,08-07-18
PV Processing Time,RPO Bareilly,Within 21 Days,1665,8487,52767,08-07-18
Applications Received - Scheme wise,RPO Bhopal,Normal,5287,18301,111516,08-07-18
Applications Received - Scheme wise,RPO Bhopal,Tatkaal,184,911,4536,08-07-18
Applications Received - Gender wise,RPO Bhopal,FEMALE,2022,7208,44742,08-07-18
Applications Received - Gender wise,RPO Bhopal,MALE,3449,12004,71304,08-07-18
Applications Received - Gender wise,RPO Bhopal,TRANSGENDER,0,0,5,08-07-18
Applications with Aadhaar Number,RPO Bhopal,Count of Applications,5471,19212,116051,08-07-18
Applications - Education Wise,RPO Bhopal,10TH PASS AND ABOVE,1639,6018,33314,08-07-18
Applications - Education Wise,RPO Bhopal,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Bhopal,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Bhopal,GRADUATE AND ABOVE,2204,7902,44834,08-07-18
Applications - Age Wise Wise,RPO Bhopal,Between_18_to_35,2791,10055,56248,08-07-18
Applications - Age Wise Wise,RPO Bhopal,Between_36_to_60,1648,5535,35579,08-07-18
Applications - Age Wise Wise,RPO Bhopal,GreaterThan60,440,1326,10086,08-07-18
Applications - Age Wise Wise,RPO Bhopal,LessThan18,592,2296,14138,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhopal,Challan,306850,762150,6331500,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhopal,Credit/ Debit Card,2491600,12091250,63667800,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhopal,Online,3310750,13166900,78949500,08-07-18
Applications Received - Service Wise,RPO Bhopal,FRESH,4412,15078,90057,08-07-18
Applications Received - Service Wise,RPO Bhopal,PCC,75,278,2159,08-07-18
Applications Received - Service Wise,RPO Bhopal,REISSUE,984,3852,23789,08-07-18
Applications Granted - PV Mode wise,RPO Bhopal,No Verification,364,1499,10032,08-07-18
Applications Granted - PV Mode wise,RPO Bhopal,Post Verification,397,1869,10053,08-07-18
Applications Granted - PV Mode wise,RPO Bhopal,Pre Verification,2991,11828,75106,08-07-18
PV Processing Time,RPO Bhopal,More than 21 Days,606,2187,22558,08-07-18
PV Processing Time,RPO Bhopal,Within 21 Days,2139,14491,72950,08-07-18
Applications Received - Scheme wise,RPO Bhubaneswar,Normal,2691,12954,71007,08-07-18
Applications Received - Scheme wise,RPO Bhubaneswar,Tatkaal,123,452,2406,08-07-18
Applications Received - Gender wise,RPO Bhubaneswar,FEMALE,710,3753,19110,08-07-18
Applications Received - Gender wise,RPO Bhubaneswar,MALE,2104,9653,54303,08-07-18
Applications Received - Gender wise,RPO Bhubaneswar,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Bhubaneswar,Count of Applications,2814,13406,73413,08-07-18
Applications - Education Wise,RPO Bhubaneswar,10TH PASS AND ABOVE,1027,4577,24627,08-07-18
Applications - Education Wise,RPO Bhubaneswar,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Bhubaneswar,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Bhubaneswar,GRADUATE AND ABOVE,1017,5297,27760,08-07-18
Applications - Age Wise Wise,RPO Bhubaneswar,Between_18_to_35,1770,8127,43664,08-07-18
Applications - Age Wise Wise,RPO Bhubaneswar,Between_36_to_60,743,3556,20054,08-07-18
Applications - Age Wise Wise,RPO Bhubaneswar,GreaterThan60,132,609,3670,08-07-18
Applications - Age Wise Wise,RPO Bhubaneswar,LessThan18,169,1114,6025,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Challan,118250,345750,2472850,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Credit/ Debit Card,1744100,7902100,44493250,08-07-18
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Online,1709950,7188050,46146450,08-07-18
Applications Received - Service Wise,RPO Bhubaneswar,FRESH,2123,10294,55217,08-07-18
Applications Received - Service Wise,RPO Bhubaneswar,PCC,222,893,5376,08-07-18
Applications Received - Service Wise,RPO Bhubaneswar,REISSUE,467,2219,12808,08-07-18
Applications Granted - PV Mode wise,RPO Bhubaneswar,No Verification,400,1878,11606,08-07-18
Applications Granted - PV Mode wise,RPO Bhubaneswar,Post Verification,182,812,4659,08-07-18
Applications Granted - PV Mode wise,RPO Bhubaneswar,Pre Verification,1507,6644,40965,08-07-18
PV Processing Time,RPO Bhubaneswar,More than 21 Days,777,3316,19777,08-07-18
PV Processing Time,RPO Bhubaneswar,Within 21 Days,1121,5646,33716,08-07-18
Applications Received - Scheme wise,RPO Chandigarh,Normal,14454,61900,365099,08-07-18
Applications Received - Scheme wise,RPO Chandigarh,Tatkaal,787,3229,16736,08-07-18
Applications Received - Gender wise,RPO Chandigarh,FEMALE,6004,25830,144325,08-07-18
Applications Received - Gender wise,RPO Chandigarh,MALE,9235,39291,237444,08-07-18
Applications Received - Gender wise,RPO Chandigarh,TRANSGENDER,0,0,10,08-07-18
Applications with Aadhaar Number,RPO Chandigarh,Count of Applications,15239,65121,381779,08-07-18
Applications - Education Wise,RPO Chandigarh,10TH PASS AND ABOVE,7538,31617,178780,08-07-18
Applications - Education Wise,RPO Chandigarh,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Chandigarh,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Chandigarh,GRADUATE AND ABOVE,3134,13719,82580,08-07-18
Applications - Age Wise Wise,RPO Chandigarh,Between_18_to_35,8087,34202,202651,08-07-18
